Name,Url,Telephone,Longitude,Latitude,AddressRegion,AddressLocality,AddressCountry,Tags
Hideaway Camping and Caravan Park,,+353(0)2822254,-9.260331,51.541699,Cork,Skibbereen,Republic of Ireland,Camping
Clonvilla,,+353(0)2498288,-7.924324,51.91066,Cork,Youghal,Republic of Ireland,Camping
Rosses Point Caravan Park (Greenlands),,+353(0)719177113,-8.569483,54.306976,Sligo,Rosses Point,Republic of Ireland,Camping
Strandhill Caravan and Camping Park,,+353(0)719168111,-8.605472,54.271988,Sligo,Airport Road,Republic of Ireland,Camping
Flemings White Bridge Caravan and Camping,,+353(0)646631590,-9.475904065,52.05711322,Kerry,Killarney,Republic of Ireland,Camping
Fossa Caravan and Camping Park,,+353(0)646631497,-9.585609,52.070824,Kerry,Fossa,Republic of Ireland,Camping
Streamstown Caravan & Camping Park,,35350521519,-7.8393265,52.957265,Tipperary,Roscrea,Ireland,Camping
Roundwood Caravan and Camping Park,,35312818163,-6.222318767,53.06909915,Wicklow,Roundwood,Republic of Ireland,Camping
Eagle Point Camping,,+353(0)2750630,-9.453848,51.719186,Cork,Ballylickey,Republic of Ireland,Camping
Newtown Cove Caravan and Camping Park,,+353(0)51381979,-7.172576,52.147718,Waterford,Tramore,Republic of Ireland,Camping
O'Sheas Caravan and Camping Park,,+353(0)2763140,-9.543672,51.750909,Cork,Glengarriff,Republic of Ireland,Camping
Ballinacourty House,http://www.camping.ie,+353(0)6256000,-8.209861,52.41631,Tipperary,Glen Of Aherlow,Republic of Ireland,Camping
Creveen Lodge Caravan and Camping Park,http://www.creveenlodge.com,+353(0)646683131,-9.760142,51.755089,Kerry,Lauragh,Republic of Ireland,Camping
Mannix Point Camping and Caravan Park,http://www.campinginkerry.com,+353(0)669472806,-10.24526,51.941941,Kerry,,Republic of Ireland,Camping
Fitzmaurice's Caravan & Camping Park,http://www.fitzmauricescaravanpark.com,+353(0)51381466,-7.138872,52.164454,Waterford,Riverstown,Republic of Ireland,Camping
Meadow Camping Park,,+353(0)2833280,-9.10905,51.564219,Cork,Glandore,Republic of Ireland,Camping
Jasmine Villa,,+353(0)214883234,-8.23967,51.911458,Cork,Carrigtwohill,Republic of Ireland,Camping
Keel Sandybanks Caravan and Camping Park,http://www.achillcamping.com,+353(0)9843211,-10.077045,53.974912,Mayo,,Republic of Ireland,Camping
Blarney Caravan and Camping Park,http://www.blarneycaravanpark.com,+353(0)214516519,-8.5461,51.947423,Cork,Blarney,Republic of Ireland,Camping
Lough Ramor Caravan and Camping Park,,3.53873E+11,-7.049428,53.795701,Cavan,Virginia,Republic of Ireland,Camping
Glenbeg Caravan Park,,+353(0)669475182,-10.08149641,51.75895187,Kerry,Caherdaniel,Republic of Ireland,Camping
Woodlands Park,https://www.facebook.com/woodlandstralee,+353(0)667121235,-9.703761,52.261393,Kerry,Tralee,Republic of Ireland,Camping
Sir Rogers Caravan and Camping Park,http://www.sirrogers.com/,+353(0)667134730,-9.825253038,52.34021718,Kerry,Ardfert,Republic of Ireland,Camping
O'Briens Cashel Lodge,http://www.cashel-lodge.com,+353(0)6261003,-7.895595,52.520046,Tipperary,Cashel,Republic of Ireland,Camping
Moloney House,http://www.moloneyhouse.ie,+353(0)871250303,-9.382853519,53.01365572,Clare,Doolin,Republic of Ireland,B&B
Tigh Fitz,http://www.tighfitz.com,+353(0)9961213,-9.664168021,53.10560026,Galway,Aran Islands,Republic of Ireland,"B&B,Welcome Standard"
West End Bar,http://www.westendfenit.ie,+353(0)667136246,-9.864376,52.276691,Kerry,Fenit,Republic of Ireland,"B&B,Welcome Standard"
Abbey Lodge,http://www.abbey-lodge.com,+353(0)646634193,-9.506673,52.055283,Kerry,Killarney,Republic of Ireland,"B&B,Welcome Standard"
Óstán Loch Altan Hotel,http://www.ostanlochaltan.com/,+353(0)749135267,-8.133193902,55.12167518,Donegal,Gortahork,Republic of Ireland,Hotel
Ballyliffin Hotel,http://www.ballyliffinhotel.com,+353(0)749376106,-7.393952,55.277699,Donegal,Ballyliffin,Republic of Ireland,Hotel
Dooley's Hotel Waterford,http://www.dooleys-hotel.ie,+353(0)51873531,-7.115599237,52.26286088,Waterford,Waterford City,Republic of Ireland,Hotel
Dorrian’s Imperial Hotel,http://www.dorriansimperialhotel.com,+353(0)719851147,-8.191242321,54.50200653,Donegal,Ballyshannon,Republic of Ireland,Hotel
Arbutus Hotel,http://www.arbutuskillarney.com,+353(0)646631037,-9.506098047,52.05955281,Kerry,Killarney,Republic of Ireland,Hotel
Bridge Hotel,https://www.facebook.com/pages/Bridge-Hotel-Arklow/296977553466?ref=bookmarks,+353(0)40231666,-6.15244,52.798163,Wicklow,Arklow,Republic of Ireland,Hotel
Kelly's Resort Hotel,https://www.facebook.com/pages/Kellys-Resort-Hotel/306173243827,+353(0)539132114,-6.387774,52.275493,Wexford,Rosslare,Republic of Ireland,Hotel
Ryan's Hotel,http://www.ryanshotelcong.ie,+353(0)949546243,-9.28634747,53.54132409,Mayo,Cong,Republic of Ireland,Hotel
Hearn's Hotel,https://www.facebook.com/pages/category/Hotel/Hearns-Hotel-2217804311776051,+353(0)526121611,-7.698001565,52.35357851,Tipperary,Clonmel,Republic of Ireland,Hotel
Taravie Hotel,https://www.facebook.com/pages/Taravie-Hotel/200397549970664,+353(0)539425208,-6.228037606,52.6453262,Wexford,Gorey,Republic of Ireland,Hotel
Munster Arms Hotel,http://www.munsterarmshotel.ie,+353(0)238841562,-8.733748497,51.74518113,Cork,Bandon,Republic of Ireland,Hotel
Glendalough Hotel,http://www.glendaloughhotel.com,+353(0)40445135,-6.325768764,53.01140875,Wicklow,Glendalough,Republic of Ireland,Hotel
Glen Hotel,http://www.theglenhotel.weebly.com,+353(0)749520505,-8.499613698,54.99006988,Donegal,,Republic of Ireland,Hotel
Imperial Hotel (Galway),http://www.imperialhotelgalway.ie,+353(0)91563033,-9.050906659,53.27460434,Galway,Eyre Square,Republic of Ireland,Hotel
Dunraven Arms Hotel,http://www.dunravenhotel.com,+353(0)61605900,-8.786761762,52.5655143,Limerick,Adare,Republic of Ireland,Hotel
O'Donovan's Hotel,http://www.odonovanshotel.com,+353(0)238833250,-8.889939883,51.62303021,Cork,Clonakilty,Republic of Ireland,Hotel
Greville Arms Hotel,http://www.grevillearmshotel.ie/,3.53449E+11,-7.340922283,53.52577807,Westmeath,Mullingar,Republic of Ireland,Hotel
The Anner Hotel,http://www.annerhotel.ie,+353(0)50421799,-7.796215534,52.67877702,Tipperary,Thurles,Republic of Ireland,Hotel
Rosapenna Hotel and Golf Resort,http://www.rosapenna.ie,+353(0)749155301,-7.827363929,55.1886295,Donegal,Downings,Republic of Ireland,Hotel
Hotel Kilkenny,http://www.hotelkilkenny.ie,+353(0)567762000,-7.261078505,52.6430975,Kilkenny,Kilkenny City,Republic of Ireland,Hotel
Innishannon House Hotel,http://www.innishannonhotel.ie,+353(0)214775121,-8.648075548,51.75968822,Cork,Innishannon,Republic of Ireland,Hotel
Brandon Hotel Conference & Leisure Centre,http://www.facebook.com/brandonhotel,+353(0)667123333,-9.709938958,52.26705648,Kerry,Tralee,Republic of Ireland,Hotel
